method,accuracy_mean,accuracy_std,specificity_mean,specificity_std,recall_mean,recall_std,validity
100Ah current selector,0.9437849681183016,0.0389451127122513,0.8677777777777778,0.1410098589888529,0.965732513100934,0.0391054985823893,valid 30-seed
NP q90 calibration,0.9344516347849684,0.0677447494170643,0.8733333333333333,0.1360076626193823,0.9516974253816356,0.0814538379178627,valid 30-seed alternative
NP max/conformal calibration,0.9277849681183016,0.0856493456130764,0.8844444444444445,0.1391637127729274,0.93941672362725,0.1172719591844744,valid 30-seed alternative
NP q95 + 0.05 safety margin,0.9189021842355178,0.0850201413338103,0.9144444444444444,0.1270602877791626,0.9202054378370168,0.1081799645040724,valid 30-seed high-specificity
NP max + 0.05 safety margin,0.9149021842355176,0.0932332693240613,0.92,0.127035156686969,0.9131878939773675,0.1273759213690037,valid 30-seed high-specificity
NP max + 0.08 safety margin,0.8908061321394655,0.1089687526131134,0.9333333333333332,0.1124441112772009,0.8789276220855168,0.1492580491689591,valid 30-seed highest-specificity
Dual evidence veto,0.942451634784968,0.0404434029559485,0.8622222222222221,0.1456214936488291,0.965732513100934,0.0391054985823893,valid 30-seed rejected
Point-set prototype veto,0.9437849681183016,0.0389451127122513,0.8677777777777778,0.1410098589888529,0.965732513100934,0.0391054985823893,valid 30-seed rejected
Target-normal heavy training,0.9127330077330076,0.0307173277746013,0.65,0.1317029954569966,0.985429482797904,0.023524863409101,10-seed screen rejected
Smooth counterfactual negatives,0.9164253154253156,0.0469531782435633,0.7666666666666667,0.2108185106778919,0.9622693096377306,0.0477645366539254,10-seed screen rejected
Severity multiclass joint head,0.912161986161986,0.0367887020146532,0.7233333333333333,0.1633371125791043,0.9670312143996356,0.0435851392614356,10-seed screen rejected
Haar wavelet transient energy,0.9282828652828652,0.0441748561591266,0.8133333333333332,0.1657009056205089,0.9624857598541808,0.0561308147690634,10-seed screen rejected
