seed,veto,rescue,val_score,val_accuracy,val_precision,val_recall,val_f1,val_specificity,val_hard_negative_fpr,val_fp,val_fn,val_median_delay_s,val_p95_delay_s
0,none,none,1.0339849999999997,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.1,262.4999999999998
4,none,none,1.0339999999999998,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,390.0
7,none,none,1.0339849999999997,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.1,90.0
20,none,none,1.0339999999999998,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0
33,none,none,1.0339999999999998,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,60.239999999999924
55,none,none,1.0339999999999998,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,159.99999999999994
69,none,none,1.0339999999999998,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,45.9
72,none,none,0.9891426576576576,0.9583333333333334,0.9473684210526315,1.0,0.972972972972973,0.8333333333333334,0.0,1,0,40.1,140.0
73,none,none,1.0339999999999998,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,97.5149999999995
88,none,none,1.0339999999999998,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,110.15999999999976
91,none,none,1.0339999999999998,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,240.0
97,none,none,1.0339999999999998,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,254.9999999999997
102,none,none,1.0339999999999998,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,45.09500000000007
110,none,none,0.9897491633728591,0.9565217391304348,1.0,0.9411764705882353,0.9696969696969697,1.0,0.0,0,1,40.1,240.0
113,none,none,1.0339999999999998,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,40.1
114,none,rescue_fd0.040_ratio0.75_t0.65_mono0.75_recmax0.05,1.033,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,149.99999999999977
119,none,none,0.9908589743589743,0.96,0.95,1.0,0.9743589743589743,0.8333333333333334,0.0,1,0,40.0,254.9999999999997
130,none,none,1.0339999999999998,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,254.9999999999997
131,none,none,1.0339999999999998,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,75.01499999999973
145,none,none,1.0339999999999998,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,52.51499999999994
160,none,none,1.0339999999999998,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,45.079999999999984
170,none,none,1.0339999999999998,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,154.99999999999986
188,none,none,1.0339999999999998,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,90.0
208,none,none,1.0339699999999998,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.2,97.49999999999993
240,none,none,1.0339999999999998,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,41.26
244,none,rescue_fd0.060_ratio0.75_t0.65_mono0.75_recmax0.05,1.033,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,254.9999999999997
261,none,none,1.0321025,1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.65,105.00000000000021
269,none,none,1.0339999999999998,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,80.23999999999985
275,none,none,0.9897641633728591,0.9565217391304348,1.0,0.9411764705882353,0.9696969696969697,1.0,0.0,0,1,40.0,41.55
289,none,none,1.0302499999999999,1.0,1.0,1.0,1.0,1.0,0.0,0,0,65.0,140.0
