seed,type,base_score_cap,val_accuracy,val_precision,val_recall,val_f1,val_specificity,val_hard_negative_fpr,val_fp,val_fn,val_median_delay_s,val_p95_delay_s
0,none,inf,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.1,262.4999999999998
4,none,inf,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,390.0
7,none,inf,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.1,90.0
20,none,inf,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0
33,none,inf,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,60.239999999999924
55,none,inf,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,159.99999999999994
69,none,inf,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,45.9
72,none,inf,0.9583333333333334,0.9473684210526315,1.0,0.972972972972973,0.8333333333333334,0.0,1,0,40.1,140.0
73,none,inf,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,97.5149999999995
88,none,inf,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,110.15999999999976
91,none,inf,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,240.0
97,none,inf,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,254.9999999999997
102,none,inf,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,45.09500000000007
110,none,inf,0.9565217391304348,1.0,0.9411764705882353,0.9696969696969697,1.0,0.0,0,1,40.1,240.0
113,none,inf,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,40.1
114,none,inf,0.9565217391304348,1.0,0.9411764705882353,0.9696969696969697,1.0,0.0,0,1,40.0,52.724999999999994
119,none,inf,0.96,0.95,1.0,0.9743589743589743,0.8333333333333334,0.0,1,0,40.0,254.9999999999997
130,none,inf,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,254.9999999999997
131,none,inf,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,75.01499999999973
145,none,inf,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,52.51499999999994
160,none,inf,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,45.079999999999984
170,none,inf,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,154.99999999999986
188,none,inf,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,90.0
208,none,inf,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.2,97.49999999999993
240,none,inf,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,41.26
244,none,inf,0.96,1.0,0.9473684210526315,0.972972972972973,1.0,0.0,0,1,40.0,240.0
261,none,inf,1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.65,105.00000000000021
269,none,inf,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,80.23999999999985
275,none,inf,0.9565217391304348,1.0,0.9411764705882353,0.9696969696969697,1.0,0.0,0,1,40.0,41.55
289,none,inf,1.0,1.0,1.0,1.0,1.0,0.0,0,0,65.0,140.0
