seed,split,n_files,n_groups,normal_files,normal_groups,hard_negative_files,fault_files,copied_pairs
0,train,84,64,19,10,9,65,20
0,val,24,18,6,3,3,18,6
0,test,26,19,6,3,3,20,7
4,train,84,64,20,10,10,64,20
4,val,24,18,6,3,3,18,6
4,test,26,19,5,3,2,21,7
7,train,83,64,19,10,9,64,19
7,val,24,18,6,3,3,18,6
7,test,27,19,6,3,3,21,8
20,train,86,64,19,10,9,67,22
20,val,23,18,6,3,3,17,5
20,test,25,19,6,3,3,19,6
33,train,83,64,19,10,9,64,19
33,val,23,18,6,3,3,17,5
33,test,28,19,6,3,3,22,9
55,train,85,64,19,10,9,66,21
55,val,23,18,6,3,3,17,5
55,test,26,19,6,3,3,20,7
69,train,81,64,20,10,10,61,17
69,val,26,18,5,3,2,21,8
69,test,27,19,6,3,3,21,8
72,train,85,64,19,10,9,66,21
72,val,24,18,6,3,3,18,6
72,test,25,19,6,3,3,19,6
73,train,85,64,20,10,10,65,21
73,val,23,18,5,3,2,18,5
73,test,26,19,6,3,3,20,7
88,train,84,64,20,10,10,64,20
88,val,23,18,6,3,3,17,5
88,test,27,19,5,3,2,22,8
91,train,85,64,20,10,10,65,21
91,val,25,18,6,3,3,19,7
91,test,24,19,5,3,2,19,5
97,train,82,64,19,10,9,63,18
97,val,25,18,6,3,3,19,7
97,test,27,19,6,3,3,21,8
102,train,81,64,20,10,10,61,17
102,val,26,18,6,3,3,20,8
102,test,27,19,5,3,2,22,8
110,train,85,64,19,10,9,66,21
110,val,23,18,6,3,3,17,5
110,test,26,19,6,3,3,20,7
113,train,84,64,19,10,9,65,20
113,val,24,18,6,3,3,18,6
113,test,26,19,6,3,3,20,7
114,train,83,64,19,10,9,64,19
114,val,23,18,6,3,3,17,5
114,test,28,19,6,3,3,22,9
119,train,84,64,19,10,9,65,20
119,val,25,18,6,3,3,19,7
119,test,25,19,6,3,3,19,6
130,train,84,64,20,10,10,64,20
130,val,25,18,6,3,3,19,7
130,test,25,19,5,3,2,20,6
131,train,84,64,19,10,9,65,20
131,val,24,18,6,3,3,18,6
131,test,26,19,6,3,3,20,7
145,train,85,64,20,10,10,65,21
145,val,24,18,6,3,3,18,6
145,test,25,19,5,3,2,20,6
160,train,86,64,19,10,9,67,22
160,val,23,18,6,3,3,17,5
160,test,25,19,6,3,3,19,6
170,train,83,64,20,10,10,63,19
170,val,23,18,5,3,2,18,5
170,test,28,19,6,3,3,22,9
188,train,86,64,19,10,9,67,22
188,val,24,18,6,3,3,18,6
188,test,24,19,6,3,3,18,5
208,train,83,64,19,10,9,64,19
208,val,24,18,6,3,3,18,6
208,test,27,19,6,3,3,21,8
240,train,86,64,20,10,10,66,22
240,val,22,18,5,3,2,17,4
240,test,26,19,6,3,3,20,7
244,train,84,64,19,10,9,65,20
244,val,25,18,6,3,3,19,7
244,test,25,19,6,3,3,19,6
261,train,83,64,20,10,10,63,19
261,val,26,18,6,3,3,20,8
261,test,25,19,5,3,2,20,6
269,train,85,64,19,10,9,66,21
269,val,23,18,6,3,3,17,5
269,test,26,19,6,3,3,20,7
275,train,85,64,19,10,9,66,21
275,val,23,18,6,3,3,17,5
275,test,26,19,6,3,3,20,7
289,train,79,64,19,10,9,60,15
289,val,27,18,6,3,3,21,9
289,test,28,19,6,3,3,22,9
