accuracy,precision,recall,specificity,f1,hard_negative_fpr,fp_x,fn,median_delay_s,p95_delay_s,seed,chosen_model,n_normals,fp_y,specificity_step_if_one_fp
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,3src_accuracy,6,0,0.16666666666666666
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,3src_accuracy,5,0,0.2
0.9629629629629628,1.0,0.9523809523809524,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,3src_accuracy,6,0,0.16666666666666666
0.96,0.95,1.0,0.8333333333333334,0.9743589743589745,0.3333333333333333,1,0,40.0,50.08999999999979,20,3src_accuracy,6,1,0.16666666666666666
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,65.0,33,3src_accuracy,6,1,0.16666666666666666
0.9615384615384616,1.0,0.95,1.0,0.9743589743589745,0.0,0,1,40.0,140.58999999999995,55,3src_accuracy,6,0,0.16666666666666666
0.8888888888888888,0.9090909090909092,0.9523809523809524,0.6666666666666666,0.9302325581395348,0.3333333333333333,2,1,40.0,65.0,69,3src_accuracy,6,2,0.16666666666666666
0.92,0.9473684210526316,0.9473684210526316,0.8333333333333334,0.9473684210526316,0.0,1,1,40.150000000000006,240.0,72,target_source_hgb_ext,6,1,0.16666666666666666
0.9230769230769232,0.9090909090909092,1.0,0.6666666666666666,0.9523809523809524,0.3333333333333333,2,0,40.0,41.34500000000002,73,3src_accuracy,6,2,0.16666666666666666
0.925925925925926,0.9545454545454546,0.9545454545454546,0.8,0.9545454545454546,0.5,1,1,40.0,40.0,88,3src_accuracy,5,1,0.2
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,91,3src_accuracy,5,0,0.2
0.925925925925926,0.9523809523809524,0.9523809523809524,0.8333333333333334,0.9523809523809524,0.3333333333333333,1,1,40.0,40.39000000000001,97,3src_accuracy,6,1,0.16666666666666666
0.9629629629629628,0.9565217391304348,1.0,0.8,0.9777777777777776,0.0,1,0,40.0,40.095,102,3src_accuracy,5,1,0.2
0.8846153846153846,1.0,0.85,1.0,0.9189189189189187,0.0,0,3,40.1,99.99999999999996,110,3src_accuracy,6,0,0.16666666666666666
0.8461538461538461,0.9,0.9,0.6666666666666666,0.9,0.0,2,2,40.0,140.0,113,3src_accuracy,6,2,0.16666666666666666
0.9642857142857144,1.0,0.9545454545454546,1.0,0.9767441860465116,0.0,0,1,40.0,90.0,114,3src_accuracy,6,0,0.16666666666666666
0.88,0.9,0.9473684210526316,0.6666666666666666,0.9230769230769232,0.0,2,1,40.0,112.4999999999998,119,3src_accuracy,6,2,0.16666666666666666
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,240.0,130,3src_accuracy,5,0,0.2
0.9615384615384616,1.0,0.95,1.0,0.9743589743589745,0.0,0,1,40.0,80.30999999999926,131,3src_accuracy,6,0,0.16666666666666666
0.92,0.9090909090909092,1.0,0.6,0.9523809523809524,0.0,2,0,40.0,145.00000000000006,145,3src_accuracy,5,2,0.2
0.96,1.0,0.9473684210526316,1.0,0.972972972972973,0.0,0,1,40.0,47.58499999999993,160,3src_accuracy,6,0,0.16666666666666666
0.9285714285714286,1.0,0.9090909090909092,1.0,0.9523809523809524,0.0,0,2,40.0,50.09500000000014,170,3src_accuracy,6,0,0.16666666666666666
0.9166666666666666,0.9,1.0,0.6666666666666666,0.9473684210526316,0.0,2,0,40.0,91.24999999999974,188,3src_accuracy,6,2,0.16666666666666666
0.9629629629629628,0.9545454545454546,1.0,0.8333333333333334,0.9767441860465116,0.0,1,0,65.0,140.0,208,3src_accuracy,6,1,0.16666666666666666
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,40.39000000000001,240,3src_accuracy,6,0,0.16666666666666666
0.96,0.95,1.0,0.8333333333333334,0.9743589743589745,0.0,1,0,40.0,50.08999999999979,244,3src_accuracy,6,1,0.16666666666666666
0.92,1.0,0.9,1.0,0.9473684210526316,0.0,0,2,52.55,154.99999999999986,261,3src_accuracy,5,0,0.2
0.9615384615384616,1.0,0.95,1.0,0.9743589743589745,0.0,0,1,40.0,65.30999999999958,269,3src_accuracy,6,0,0.16666666666666666
0.9230769230769232,0.9090909090909092,1.0,0.6666666666666666,0.9523809523809524,0.3333333333333333,2,0,40.0,152.50000000000017,275,3src_accuracy,6,2,0.16666666666666666
0.9642857142857144,0.9565217391304348,1.0,0.8333333333333334,0.9777777777777776,0.0,1,0,65.0,137.49999999999997,289,3src_accuracy,6,1,0.16666666666666666
