seed,threshold_50s,threshold_75s,threshold_100s,threshold_150s,threshold_250s,threshold_400s,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_hard_negative_fpr,val_fp,val_fn,val_median_delay_s,val_p95_delay_s
0,0.52,0.52,0.58,0.58,0.58,0.58,0.9583333333333334,0.9473684210526315,1.0,0.8333333333333334,0.972972972972973,0.3333333333333333,1,0,40.0,40.13
4,0.66,0.8,0.86,0.72,0.86,0.86,0.9583333333333334,1.0,0.9444444444444444,1.0,0.9714285714285714,0.0,0,1,40.0,54.71999999999997
7,0.8,0.92,0.72,0.72,0.72,0.72,0.9583333333333334,0.9473684210526315,1.0,0.8333333333333334,0.972972972972973,0.3333333333333333,1,0,40.0,112.49999999999979
20,0.66,0.66,0.58,0.72,0.86,0.58,0.9565217391304348,1.0,0.9411764705882353,1.0,0.9696969696969697,0.0,0,1,40.0,127.57499999999999
33,0.52,0.8,0.58,0.58,0.72,0.58,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,40.14
55,0.92,0.66,0.72,0.72,0.86,0.72,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,79.99999999999994
69,0.52,0.66,0.58,0.58,0.58,0.58,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,40.1
72,0.52,0.92,0.86,0.94,0.94,0.86,0.9583333333333334,0.9473684210526315,1.0,0.8333333333333334,0.972972972972973,0.3333333333333333,1,0,40.0,40.1
73,0.52,0.8,0.86,0.72,0.58,0.58,0.9565217391304348,1.0,0.9444444444444444,1.0,0.9714285714285714,0.0,0,1,40.0,41.339999999999996
88,0.8,0.92,0.94,0.58,0.86,0.86,0.9565217391304348,0.9444444444444444,1.0,0.8333333333333334,0.9714285714285714,0.0,1,0,40.0,140.0
